quote_date,constraint_type,slack_sum,slack_max,n_active
2025-10-01,convexity,19.884447501801027,2.6684999997496868,37
2025-10-02,convexity,20.373958772357433,2.6839999999726407,40
2025-10-03,convexity,21.095716701716185,2.674799999693697,38
2025-10-06,convexity,21.747514313613443,2.7110999997432543,35
2025-10-07,convexity,21.108933003733668,2.709666666590887,38
2025-10-08,convexity,22.135288941863106,2.7388333330260983,36
2025-10-09,convexity,21.344921447918573,2.696166666538912,39
2025-10-10,convexity,15.607380270876835,2.4174999134258246,33
2025-10-13,convexity,17.960996750390727,2.5183333329974626,31
2025-10-14,convexity,13.91504350088141,2.4719998487508206,36
2025-10-14,calendar,0.00038457006718982883,0.0003845426668035782,1
2025-10-15,convexity,16.471371317014487,2.4878377587403016,30
2025-10-16,convexity,15.652717479648098,2.445263142928029,32
2025-10-17,convexity,16.423446440228666,2.5139999998799656,29
2025-10-20,convexity,18.349265285157124,2.7035999998029436,29
2025-10-21,convexity,18.133648251440523,2.7033333333470377,28
2025-10-22,convexity,16.839637305868536,2.6774999996505082,25
2025-10-23,convexity,17.88950004919741,2.7436666663284597,30
2025-10-24,convexity,19.591244068200602,2.8100000000196435,32
2025-10-27,convexity,23.2491265138114,2.8454999998757953,39
2025-10-28,convexity,21.94490931366189,2.806799999733511,35
2025-10-29,convexity,19.066704874838464,2.7662857140692947,33
2025-10-30,convexity,16.595395693112213,2.7635999997950127,32
