quote_date,status,n_options,n_adjusted,mean_adjustment,max_adjustment,pct_within_bidask
2025-10-01,optimal,4928,3713,0.04482912289227273,1.9049999999351215,100.0
2025-10-02,optimal,4925,3687,0.044444881690534066,1.6517945430626852,100.0
2025-10-03,optimal,4816,3642,0.03653950473512532,1.7680875460340317,100.0
2025-10-06,optimal,4784,3617,0.031861182320902647,1.6978571351734928,100.0
2025-10-07,optimal,4712,3511,0.03254948031262425,1.3349999999845465,100.0
2025-10-08,optimal,4677,3572,0.026949719400371098,1.3899999995885253,100.0
2025-10-09,optimal,4644,3411,0.03861181665043217,1.0949999999709803,100.0
2025-10-10,optimal,4526,3400,0.0422420644997144,0.8598041245956836,100.0
2025-10-13,optimal,4469,3207,0.027434071129776784,1.219999999936718,100.0
2025-10-14,optimal,4589,3484,0.03206789595470072,0.7399999999998812,100.0
2025-10-15,optimal,4557,3360,0.030711009116392008,0.6052711658465881,100.0
2025-10-16,optimal,4522,3247,0.03542835375998741,0.9249999999936733,100.0
2025-10-17,optimal,4554,3311,0.02204676502042905,0.8687559424105729,100.0
2025-10-20,optimal,4451,3314,0.019725678547282192,0.6036722956768301,100.0
2025-10-21,optimal,4419,3194,0.014741417820381653,0.607250191113252,100.0
2025-10-22,optimal,4324,3043,0.019094320713694136,0.6826944921660072,100.0
2025-10-23,optimal,4384,2990,0.011844103868455198,1.1975550497780034,100.0
2025-10-24,optimal,4556,3265,0.026810663599253624,0.5428786112613295,100.0
2025-10-27,optimal,4713,3492,0.03640045258732657,1.5449999889620187,100.0
2025-10-28,optimal,4859,3494,0.056620271042208584,1.3649999879274333,100.0
2025-10-29,optimal,4951,3558,0.038366562500336425,0.7284350510431636,100.0
2025-10-30,optimal,4961,3945,0.03599543541763428,0.8391611151258758,100.0
2025-10-31,optimal,4963,3517,0.02954163583820495,0.8232627944485671,100.0
