metric,raw,repaired,improvement_pct
rmse_mean,0.05317174107438444,0.053115075067793345,0.10657165901680722
v0_std,0.008230672161571603,0.007942878675434941,3.4965976105857832
v0_mean,0.03291795353477238,0.03282912714832733,
kappa_std,2.2164603852184936,1.142643609269855,48.44737055125775
kappa_mean,14.508914175199083,14.761612084096518,
theta_std,0.011148824773877498,0.011878841623877543,-6.547926483789812
theta_mean,0.052148765454960756,0.05223665040466089,
xi_std,0.2354975466574574,0.2256935688770789,4.163091259136921
xi_mean,4.941663357652854,4.952855463778832,
rho_std,0.08102114818001528,0.08050751367859264,0.6339511509778033
rho_mean,-0.6245070875373369,-0.6220295433552195,
feller_satisfaction_pct,0.0,0.0,0.0
